"","WINP","PTS","FGP","TPP","FTP","REB","AST","TOV","STL","BLK"
"61",0.732,118.1,47.6,35.3,77.3,49.7,26,13.9,7.5,5.9
"62",0.707,114.4,47.4,36.6,80.4,45.2,25.4,14,8.3,5.3
"63",0.695,117.7,49.1,38.5,80.1,46.2,29.4,14.3,7.6,6.4
"64",0.659,110.7,46.6,35.1,75.5,46.4,27.4,13.4,7.7,4.4
"65",0.646,113.9,44.9,35.6,79.1,42.1,21.2,13.3,8.5,4.9
"66",0.646,114.7,46.7,35.9,81.4,48,23,13.8,6.7,5
"67",0.622,115.2,47.1,35.9,77.1,47.8,26.9,14.9,7.4,5.3
"68",0.61,111.7,46.8,35.6,73.6,46.4,26,15.1,8.1,5.9
"69",0.598,112.4,46.5,36.5,80.2,44.5,26.3,12.8,8.6,5.3
"70",0.598,114.5,45.4,34.8,71.3,48.1,23.4,14,9.3,5.2
"71",0.585,108,47.5,37.4,75.2,43,26,13.7,8.7,4.9
"72",0.585,115.1,47.1,38.8,79.2,45.5,24,14.5,6.8,4.7
"73",0.585,111.7,47.8,39.2,81.9,44.7,24.5,12.1,6.1,4.7
"74",0.512,112.2,44.9,35.3,74.5,46.6,23.8,15.1,6.6,4.1
"75",0.512,107.3,45.4,35.6,78.2,45.4,25.5,13.2,6.6,5.4
"76",0.5,107,44,34.8,74.7,45,22.5,13.8,6.9,4
"77",0.476,110.7,44.8,35.1,79.7,43.8,23.2,12.2,7.2,4.9
"78",0.476,105.7,45,34.9,69.5,46.3,24.3,14.7,7.6,5.5
"79",0.476,114.2,46.4,37.8,72.6,45.4,25.4,13.4,8.3,4.4
"80",0.451,111.8,47,33.3,69.9,46.6,25.6,15.7,7.5,5.4
"81",0.439,112.5,45.6,35.1,78.7,44.8,24.6,13.1,8.3,5
"82",0.402,108.9,44.7,34,74.2,45.3,23.4,14.2,6.5,4.3
"83",0.402,103.5,45,34.2,77.2,41.8,23.9,14,8.3,5.5
"84",0.402,115.4,47.3,34.4,76.1,47.3,27,14.8,7.4,5.4
"85",0.39,114,46.8,34.1,76.8,42.4,26.3,14.1,8.3,4.6
"86",0.354,113.3,45.1,35.2,75.2,46.1,25.8,17,8.2,5.1
"87",0.268,104.9,45.3,35.1,78.3,42.9,21.9,14.1,7.4,4.3
"88",0.232,104.5,44.4,35.5,79.2,42.7,20.7,13.5,6.5,2.4
"89",0.232,107.5,45.9,32.9,77.9,40.4,23.9,15.6,9,5.1
"90",0.207,104.6,43.3,34,75.9,44.7,20.1,14,6.8,5.1
"91",0.793,112.4,46,36.2,78.1,43.5,21.5,13.8,8.5,4.8
"92",0.72,111.7,47.2,35.8,79.4,44,24.3,13.4,7.6,6.1
"93",0.707,113.5,50.3,39.1,81.5,43.5,29.3,15.4,8,7.5
"94",0.671,104,45,37.7,77.1,44.5,22.5,14,7.4,4.5
"95",0.634,109.8,47.2,36.9,75.2,47.4,27.1,16.5,8.3,5.1
"96",0.61,110.9,47.6,37.2,77.9,42.1,23.4,13.7,7.1,3.8
"97",0.598,105.6,45.2,36.6,80,45.5,19.5,13.5,7,5.2
"98",0.585,105.6,47.2,36.9,77.9,42.3,22.2,13.3,8.8,4.1
"99",0.585,111.7,48.3,36.2,77.2,44.3,26.8,14.9,8,5.9
"100",0.585,107.9,45.3,35.4,71.6,45.1,21.3,14,9.1,5
"101",0.585,104.1,46.2,36.6,77.9,43.3,22.4,14.7,8.6,5.1
"102",0.573,109.5,47.6,35.7,80.4,42,22.7,12.5,8.4,4.2
"103",0.573,102.7,45.7,35.2,77.2,44.2,22.8,13.1,7.7,5.6
"104",0.561,110,47,37.1,76.7,44.5,25.1,15,7.6,4.9
"105",0.537,103.4,45.5,36,75.5,43.5,22.7,14.4,7.6,5.3
"106",0.537,106.5,47.8,35.5,78.3,39.8,23.2,13.8,8.8,5.4
"107",0.524,106.6,46.7,37.5,77.2,43.1,25.2,14.6,7.9,4.3
"108",0.512,109,47.1,35.4,74.3,43.9,22.3,14.7,7.7,4.5
"109",0.476,103.8,45,37.3,74.5,43.7,22.8,13.4,7.7,3.9
"110",0.439,108.2,45,36.9,74.7,45.5,21.6,12.7,6.8,4.5
"111",0.427,108.1,46.1,34.5,71.4,46.4,23.8,15.8,7.7,4.7
"112",0.354,104.5,46.4,35.2,78.7,44,23.3,14.7,6.7,5.1
"113",0.341,106.6,44.1,35.6,77.2,44.4,23.7,15.2,6.2,4.8
"114",0.329,102.9,43.5,35.5,75.9,44.7,23.5,14,7.6,3.5
"115",0.329,98.8,45,37.5,73.5,40.9,21.6,13.7,7.8,4.1
"116",0.305,103.4,45.2,35.1,75.7,41.6,23.4,14.5,7.6,4.9
"117",0.293,103.4,44.6,36,78.5,41.9,23.7,15.5,7.8,4.2
"118",0.293,102.3,44.4,36,76.3,41.3,22.7,12.3,7,3.8
